UEN,entity_name,ssic_code,ssic_code2,oth_desc,oth_desc2,gsearch
198303940Z,NOEL GIFTS INTERNATIONAL LTD.,47749,68101,MARKETING OF GIFTS AND THE OPERATION OF A FRANCHISE PROGRAMME.,PROPERTY INVESTMENT AND DEVELOPMENT.,https://www.google.com/search?q=NOEL GIFTS INTERNATIONAL LTD.+uen
199904281D,NTEGRATOR HOLDINGS LIMITED,62090,41009,"SYS INTEGRATION OF VOICE, VIDEO & DATA COM NETWORKS, COM & OTH SVS","STRUCTURED CABLE/CIVIL WORKS FOR UNDERGROUND, ROAD AND IN BUILDINGS",https://www.google.com/search?q=NTEGRATOR HOLDINGS LIMITED+uen
199004330K,OSSIA INTERNATIONAL LIMITED,46411,46900,"WHOLESALE AND RETAILING OF FOOTWEAR, GOLF EQUIPMENT AND FASHION APPARELS",,https://www.google.com/search?q=OSSIA INTERNATIONAL LIMITED+uen
196400050E,OUE LIMITED,55101,82999,OPERATION OF HOTEL & RESTAURANTS &LETTING OF COMMERCIAL OFFICES & RETAIL MALLS,HOLDING OF INVESTMENTS,https://www.google.com/search?q=OUE LIMITED+uen
193200032W,OVERSEA-CHINESE BANKING CORPORATION LIMITED,64120,,,,https://www.google.com/search?q=OVERSEA-CHINESE BANKING CORPORATION LIMITED+uen
197600165Z,PENGUIN INTERNATIONAL LIMITED,30110,50014,TO BUILD AND CONSTRUCT VESSELS AND TO PROVIDE VESSEL MAINTENANCE SERVICES,OWNERS AND OPERATORS OF FERRIES AND LAUNCHES,https://www.google.com/search?q=PENGUIN INTERNATIONAL LIMITED+uen
199905792R,PNE INDUSTRIES LTD,47533,82999,,,https://www.google.com/search?q=PNE INDUSTRIES LTD+uen
197400888M,PSC CORPORATION LTD.,46900,63201,,,https://www.google.com/search?q=PSC CORPORATION LTD.+uen
199806124N,QIAN HU CORPORATION LIMITED,03209,47746,,SALES OF PETS AND SMALL ANIMALS,https://www.google.com/search?q=QIAN HU CORPORATION LIMITED+uen
198901967K,RAFFLES MEDICAL GROUP LTD,86201,64202,,,https://www.google.com/search?q=RAFFLES MEDICAL GROUP LTD+uen
198701138Z,RH PETROGAS LIMITED,09001,64202,OIL AND GAS EXPLORATION AND PRODUCTION,,https://www.google.com/search?q=RH PETROGAS LIMITED+uen
199604816E,SAKAE HOLDINGS LTD.,56122,10750,,,https://www.google.com/search?q=SAKAE HOLDINGS LTD.+uen
199308462C,SAMUDERA SHIPPING LINE LTD,50021,41001,,,https://www.google.com/search?q=SAMUDERA SHIPPING LINE LTD+uen
199407121D,SBI OFFSHORE LIMITED,46900,46100,GENERAL TRADING,PROJECT CONSULTANTS,https://www.google.com/search?q=SBI OFFSHORE LIMITED+uen
199206653M,SBS TRANSIT LTD,49211,49102,,,https://www.google.com/search?q=SBS TRANSIT LTD+uen
198103193M,SECOND CHANCE PROPERTIES LTD,68101,47711,PROPERTIES INVESTMENT AND INVESTMENT HOLDINGS,"RETAIL SALE OF APPARELS, GOLD, JEWELLERY AND GENERAL MERCHANDISE",https://www.google.com/search?q=SECOND CHANCE PROPERTIES LTD+uen
199202071D,SERIAL SYSTEM LTD,46522,64202,WHOLES TELECOMMUNICATION EQUIPMENT,,https://www.google.com/search?q=SERIAL SYSTEM LTD+uen
198300847M,SEROJA INVESTMENTS LIMITED,64201,,HOLDING COMPANIES,,https://www.google.com/search?q=SEROJA INVESTMENTS LIMITED+uen
199804583E,SHANAYA LIMITED,82110,64202,,,https://www.google.com/search?q=SHANAYA LIMITED+uen
198201025C,SIA ENGINEERING COMPANY LIMITED,30302,,"MAINTENANCE, REPAIR AND OVERHAUL OF AIRCRAFT AND ENGINE COMPONENT",,https://www.google.com/search?q=SIA ENGINEERING COMPANY LIMITED+uen
196400348D,SING INVESTMENTS & FINANCE LIMITED,64150,64201,HOLDING COMPANIES,,https://www.google.com/search?q=SING INVESTMENTS & FINANCE LIMITED+uen
197200078R,SINGAPORE AIRLINES LIMITED,51001,51002,,,https://www.google.com/search?q=SINGAPORE AIRLINES LIMITED+uen
199201623M,SINGAPORE POST LIMITED,53100,,,,https://www.google.com/search?q=SINGAPORE POST LIMITED+uen
199201624D,SINGAPORE TELECOMMUNICATIONS LIMITED,61011,,,,https://www.google.com/search?q=SINGAPORE TELECOMMUNICATIONS LIMITED+uen
197901237E,SITRA HOLDINGS (INTERNATIONAL) LIMITED,16291,46631,,,https://www.google.com/search?q=SITRA HOLDINGS (INTERNATIONAL) LIMITED+uen
198701451M,SPINDEX INDUSTRIES LIMITED,25993,28224,,,https://www.google.com/search?q=SPINDEX INDUSTRIES LIMITED+uen
199802208C,STARHUB LTD.,61011,64202,,,https://www.google.com/search?q=STARHUB LTD.+uen
198201457Z,SUNRISE SHARES HOLDINGS LTD.,66303,64202,"PROPERTY BUSINESS, HOSPITALITY AND FUND MANAGEMENT BUSINESS",INVESTMENT HOLDING BUSINESS,https://www.google.com/search?q=SUNRISE SHARES HOLDINGS LTD.+uen
198000057W,TAI SIN ELECTRIC LIMITED,27322,64202,,,https://www.google.com/search?q=TAI SIN ELECTRIC LIMITED+uen
197702806M,TAT SENG PACKAGING GROUP LTD,17022,46471,,"SALE OF PAPER BOXES, PAPERBOARD, PAPER PRODUCTS AND PACKAGING MATERIALS",https://www.google.com/search?q=TAT SENG PACKAGING GROUP LTD+uen
199802072R,TELECHOICE INTERNATIONAL LIMITED,46523,46900,,,https://www.google.com/search?q=TELECHOICE INTERNATIONAL LIMITED+uen
198403771D,TT INTERNATIONAL LIMITED,46900,64202,TRADING IN CONSUMER ELECTRICAL & ELECTRONICS PRODUCTS,INVESTMENT HOLDING,https://www.google.com/search?q=TT INTERNATIONAL LIMITED+uen
197100152R,UNITED OVERSEAS INSURANCE LIMITED,65124,65123,,"IMPORT, EXPORT IS CLASSIFIED AS MARINE INSURANCE",https://www.google.com/search?q=UNITED OVERSEAS INSURANCE LIMITED+uen
198402886H,VENTURE CORPORATION LIMITED,26201,,"PROVIDE MANUFACTURING, DESIGN, LOGISTIC SERVICES TO ELECTRONICS COMPANIES",,https://www.google.com/search?q=VENTURE CORPORATION LIMITED+uen
198100320K,VICOM LTD,95303,71200,,TECHNICAL TESTING AND ANALYSIS SERVICES TO A WIDE SPECTRUM OF INDUSTRIES,https://www.google.com/search?q=VICOM LTD+uen
